cuck, WHAT!?
hi, Hi.. ^^
yo, Yo... Whats up?
indeed, yes indeed..
sup, SUP!
leendert, He was a great man
richard, He is a great man
mark, he isnt a man
haowei, Hes a big man
jan, He is a dutch man
jiyun, He carries a handgun
pee, You pee nearby.
hello, Whats up man..?
mate, That feature is not implemented yet ;)
breed, Now now.. you must wait until marriage :D
smith, The smithmeister
happy, Go lucky
rich, indeed..
touch, Yourself
feel, Why!?
sleep, that feature is not implemented yet. But you could do it in real life if you wanted..
zap, ZAPPPAA ZUUUMMMM BAKASHAKALA
love, Love <3
fall, You fall and get back up
darkness, enroaches you
math, Is good!
precal, is bad!
tom, Uncle Tom's Cabin is boring..
chimp, They grab your hair
pencil, Sharpened, or blunt?
sharp, Ok.. Good for you
blunt, Like your head!
